인물,임원직수,소속조직수,참여사건수,활동영역수,영역
히라사와 이와타로,1,1,1,1,행정
히로우치 도시,0,0,1,0,
히로우치 시게키치,0,1,0,0,
히메노 다로지,0,0,1,0,
히사미즈 사부로,2,2,9,0,
히시키 히데이치,1,1,3,0,
히와타시 세이에이,1,1,2,0,
히자쓰키 마스키치,6,6,11,1,행정
히지카타 기요시,1,1,1,0,
히타카 사이지,1,1,2,0,
