절ID,장번호,장제목,절순번,절제목,시작행,끝행,비고
24-1,24,민단 개혁을 위해 쇄신회를 조직,1,오키타의 풍모,300,303,표제 '긴조(錦城)의 풍모' — 긴조=오키타(인물명메모 판정)
24-2,24,민단 개혁을 위해 쇄신회를 조직,2,이름뿐인 상점,305,306,
24-3,24,민단 개혁을 위해 쇄신회를 조직,3,쇄신회의 활약,308,309,
25-1,25,25년 전의 선거 일화,1,놀라운 사실,312,315,
25-2,25,25년 전의 선거 일화,2,영사에게 소원장,317,318,
26-1,26,"나의 주장 관철, 인두세 폐지",1,하타모토의 방문,321,324,
26-2,26,"나의 주장 관철, 인두세 폐지",2,내 주장 관철,326,331,
26-3,26,"나의 주장 관철, 인두세 폐지",3,새된 고함을 지르는 자,333,334,
27-1,27,"신문과 신문인, 그 변천",1,두 신문의 대립,337,340,
27-2,27,"신문과 신문인, 그 변천",2,신문과 신문인,342,343,
27-3,27,"신문과 신문인, 그 변천",3,대구실업신보,345,346,
28-1,28,대구구락부에 모인 사람들,1,대구구락부,349,352,
28-2,28,대구구락부에 모인 사람들,2,관부연락선,354,355,
29-1,29,요람기의 대구교육계(상),1,바가지 쓴 하주,358,361,
29-2,29,요람기의 대구교육계(상),2,달성학교의 유래,363,364,
29-3,29,요람기의 대구교육계(상),3,히자쓰키의 노력,366,367,
29-4,29,요람기의 대구교육계(상),4,야학교 설립,369,370,
30-1,30,요람기의 대구교육계(하),1,소학교의 기원,373,376,
30-2,30,요람기의 대구교육계(하),2,학생 38명,378,387,
30-3,30,요람기의 대구교육계(하),3,민회의원 집단사직,389,390,
31-1,31,피나는 판매경쟁의 추억,1,어용상인의 부수입,393,396,
31-2,31,피나는 판매경쟁의 추억,2,판매경쟁의 추억,398,399,
32-1,32,민심을 이해하지 못한 정책의 실패,1,새로운 화폐의 주조,402,406,
32-2,32,민심을 이해하지 못한 정책의 실패,2,탈곡기 배포 계획,408,409,
32-3,32,민심을 이해하지 못한 정책의 실패,3,농사개량 실패,411,412,
33-1,33,급조된 사변사의 솔직한 이야기,1,사변사의 추억담,415,420,
33-2,33,급조된 사변사의 솔직한 이야기,2,1등 영화관,422,423,
34-1,34,"민심 악화, 빈번한 화적 조난",1,빈번한 화적의 봉기,426,430,
34-2,34,"민심 악화, 빈번한 화적 조난",2,후지이의 조난,431,432,
35-1,35,"유언비어 난무, 소방대 창설",1,재봉 바늘로 봉합,435,439,
35-2,35,"유언비어 난무, 소방대 창설",2,서부소방조직,440,452,
36-1,36,"무질서한 세상, 과수원 경영",1,"순사, 한판 당하다",454,456,
36-2,36,"무질서한 세상, 과수원 경영",2,대담한 시도,457,458,
37-1,37,이토 공의 첫 조난 사건,1,대한정책 확립,461,471,
37-2,37,이토 공의 첫 조난 사건,2,미나카이의 유래,472,473,
38-1,38,다사다난했던 1905년,1,최초의 벽돌건물,476,481,
38-2,38,다사다난했던 1905년,2,의기양양한 일본인,483,485,
39-1,39,"전승국민의 긍지, 팔조회 조직",1,전승국민의 긍지,487,491,
39-2,39,"전승국민의 긍지, 팔조회 조직",2,개척자들의 친분,492,493,
40-0,40,사은에 감사하며 갑진회 조직,0,사은에 감사하며 갑진회 조직(장서두),496,497,장서두
40-1,40,사은에 감사하며 갑진회 조직,1,개척자들의 재회,498,500,
40-2,40,사은에 감사하며 갑진회 조직,2,갑진회의 취지,502,510,
40-3,40,사은에 감사하며 갑진회 조직,3,대구의 약령시,512,513,
41-1,41,대구 명물의 하나 약령시,1,대구의 약령시,516,521,
41-2,41,대구 명물의 하나 약령시,2,객사파괴 반대,523,524,
41-3,41,대구 명물의 하나 약령시,3,약령시의 보존,526,527,
42-1,42,"기업시대, 이와세 왕국",1,보기 드문 한파,530,533,
42-2,42,"기업시대, 이와세 왕국",2,이와세 중심 시대,535,536,
42-3,42,"기업시대, 이와세 왕국",3,여러 사업의 시작,538,539,
43-1,43,아리타 오토마쓰와 당시의 동포회,1,아리타 오토마쓰의 등장,542,545,
43-2,43,아리타 오토마쓰와 당시의 동포회,2,약방의 증가,547,548,
43-3,43,아리타 오토마쓰와 당시의 동포회,3,동포회 설립 경위,550,556,
44-1,44,이토 공의 에피소드,1,통감부 개청식,559,564,
44-2,44,이토 공의 에피소드,2,경성의 첫인상,566,567,
45-1,45,문관의 무장적 제복시대,1,일대 전기를 맞이한 경성,570,573,
45-2,45,문관의 무장적 제복시대,2,봉화군의 폭도,575,576,
45-3,45,문관의 무장적 제복시대,3,연초업계의 변천,578,579,
46-1,46,초창기 대구의 금융기관,1,대구농공은행,582,585,
46-2,46,초창기 대구의 금융기관,2,대구수형조합,587,588,
46-3,46,초창기 대구의 금융기관,3,시변의 계산법,590,595,
47-1,47,"대관병식, 러일전쟁 결산",1,대구의 개선 축하,598,601,
47-2,47,"대관병식, 러일전쟁 결산",2,사절 파견,603,604,
47-3,47,"대관병식, 러일전쟁 결산",3,박중양의 출세,606,607,
48-1,48,체신사업 경과와 전화개통,1,집배하지 않는 우편,610,613,
48-2,48,체신사업 경과와 전화개통,2,통신사무 통일,615,616,
48-3,48,체신사업 경과와 전화개통,3,시내전화 개통,618,626,
49-1,49,한국시대의 지방청 조직,1,용빙 관리의 위풍,629,632,
49-2,49,한국시대의 지방청 조직,2,거만한 관찰사,634,635,
49-3,49,한국시대의 지방청 조직,3,관찰부의 장대한 경관,637,639,
50-1,50,호사스러운 석빙고를 그리는 기념비,1,말기의 관찰사,641,646,
50-2,50,호사스러운 석빙고를 그리는 기념비,2,석빙고 파괴,648,649,
50-3,50,호사스러운 석빙고를 그리는 기념비,3,석빙고의 비명,651,656,
51-1,51,이사청 설치와 민단법 실시,1,성대한 개청식,659,663,
51-2,51,이사청 설치와 민단법 실시,2,오카모토 부이사관의 답사,664,670,
