한글표기,한자표기,대구물어_빈도,재집계_언급수,등장단락수,민단사매칭,안내매칭,요람매칭,조선대구일반매칭,병합된_이표기
기무라 오시로,木村大代,1,2,1,0,0,0,0,
기시모토 기미,岸本キミ,0,2,1,0,0,0,0,신규: 소학교 수상자(단락 1301)
기쿠치 나가후,菊池長風,1,2,1,0,0,0,0,
기타가와 지헤이,北川治兵衛,1,2,1,0,0,0,0,
기타무라 도시오,北村俊男,1,2,1,0,0,0,0,
김백여,金柏汝,0,2,1,0,0,0,0,신규: 소학교 수상자(단락 707)
나가노 다카이치,長野高一,1,2,1,0,0,0,0,
나베시마 게이지로,鍋島桂次郎,1,2,1,0,0,0,0,
나이토,内藤,0,2,1,1,0,0,0,신규: 부관(단락 908)
나카가와 다헤이,中川太平,1,2,1,0,0,0,0,
나카무라 신로쿠,中牟田辰六,1,2,1,0,0,0,0,
나카쓰카 로쿠스케,中塚六助,1,2,1,0,1,0,0,
