한글표기,한자표기,민족,언급수,등장단락수,첫등장단락,주활동연도,활동연도범위,단체소속,연령후보_대구물어,출신후보_대구물어,도래후보_대구물어,민단사매칭,안내매칭,요람매칭,조선대구일반매칭,직업_조선대구일반,출신지_조선대구일반,도래연도_조선대구일반,연령_조선대구일반,출신지_확정,도래연도_확정,속성출전,조선대구일반_소개(발췌),직업_보조자료,직업_보조출전,출신지_보조자료,출신지_보조출전,도래연도_보조자료,도래연도_보조출전,생년,생년_출전,조선대구일반_출전,출신지_확정출전,도래연도_확정출전,직업_확정,직업_확정출전,관찰사재임_대구부사,관찰사재임_출전
도쿠라 기이치,戸倉貴一,일본인,6,3,131,1904,1904-1909,,,,1903(단락131),0,0,0,0,,,,,,1903,대구물어,,,,,,,,,,,,대구물어(1930) 1903(단락131),,,,
미쓰하시 에이타로,三橋栄太郎,일본인,6,3,328,1905,1904-1909,팔조회,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
사이고 다카모리,西郷隆盛,일본인,6,4,496,1906,1906-1908,,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
세노 히로키치,妹尾廣吉,일본인,6,3,29,1904,1904-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
스즈키 다케시,鈴木赳,일본인,6,3,147,1905,1904-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
시노하라 가나메,篠原要,일본인,6,3,58,1905,1904-1905,임시일본인대회,,도쿠시마현(단락227),,0,1,0,0,,,,,도쿠시마현,,대구물어,,,,,,,,,,,대구물어(1930) 도쿠시마현(단락227),,,,,
시바타 지요키치,柴田千代吉,일본인,6,3,29,1904,1904-1907,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
아라이 겐타로,荒井賢太郎,일본인,6,3,955,1907,1907-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
아리마 고코,有馬髙孝,일본인,6,2,127,1905,1905-1905,,,가고시마현(단락149),,0,0,0,0,,,,,가고시마현,,대구물어,,,,,,,,,,,대구물어(1930) 가고시마현(단락149),,,,,
아리스가와노미야 다케히토,有栖川宮威仁,일본인,6,4,900,1907,1907-1907,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
야기 다쓰마,八木辰馬,일본인,6,3,419,1907,1906-1908,,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
